"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"下午 01:34:00.8357384","chrome.exe","40424","Process Profiling","","SUCCESS","User Time: 18.9218750 seconds, Kernel Time: 14.5000000 seconds, Private Bytes: 265,252,864, Working Set: 325,492,736"
"下午 01:34:00.8357768","chrome.exe","18148","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 8,372,224, Working Set: 11,034,624"
"下午 01:34:00.8358175","chrome.exe","38928","Process Profiling","","SUCCESS","User Time: 15.4687500 seconds, Kernel Time: 4.0937500 seconds, Private Bytes: 437,620,736, Working Set: 421,969,920"
"下午 01:34:00.8358553","chrome.exe","35816","Process Profiling","","SUCCESS","User Time: 2.5000000 seconds, Kernel Time: 1.2031250 seconds, Private Bytes: 30,666,752, Working Set: 59,211,776"
"下午 01:34:00.8358907","chrome.exe","26604","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 12,218,368, Working Set: 22,503,424"
"下午 01:34:00.8359294","chrome.exe","44020","Process Profiling","","SUCCESS","User Time: 4.7031250 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 204,976,128, Working Set: 153,882,624"
"下午 01:34:00.8360790","chrome.exe","29924","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 27,713,536, Working Set: 47,730,688"
"下午 01:34:00.8361192","chrome.exe","10952","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 18,423,808, Working Set: 42,246,144"
"下午 01:34:00.8363181","chrome.exe","1796","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 20,783,104, Working Set: 41,603,072"
"下午 01:34:00.8363582","chrome.exe","38824","Process Profiling","","SUCCESS","User Time: 2.6093750 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 52,817,920, Working Set: 89,276,416"
"下午 01:34:00.8363982","chrome.exe","79408","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 21,868,544, Working Set: 42,311,680"
"下午 01:34:00.8364388","chrome.exe","78676","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 18,661,376, Working Set: 41,975,808"
"下午 01:34:00.8364778","chrome.exe","45012","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 20,508,672, Working Set: 44,134,400"
"下午 01:34:00.8365172","chrome.exe","78864","Process Profiling","","SUCCESS","User Time: 0.1875000 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 21,118,976, Working Set: 54,050,816"
"下午 01:34:00.8365576","chrome.exe","49764","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 19,587,072, Working Set: 43,413,504"
"下午 01:34:00.8370853","chrome.exe","23512","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 29,184,000, Working Set: 51,765,248"
"下午 01:34:00.8371248","chrome.exe","63820","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 13,795,328, Working Set: 21,880,832"
"下午 01:34:00.8371688","chrome.exe","119516","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 62,382,080, Working Set: 49,836,032"
"下午 01:34:00.8372175","chrome.exe","114700","Process Profiling","","SUCCESS","User Time: 7.7031250 seconds, Kernel Time: 0.8593750 seconds, Private Bytes: 173,867,008, Working Set: 252,280,832"
"下午 01:34:00.8389164","chrome.exe","51472","Process Profiling","","SUCCESS","User Time: 0.2968750 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 52,670,464, Working Set: 102,850,560"
"下午 01:34:00.8401494","chrome.exe","23608","Process Profiling","","SUCCESS","User Time: 1.3906250 seconds, Kernel Time: 0.1718750 seconds, Private Bytes: 101,122,048, Working Set: 178,524,160"
"下午 01:34:00.8407897","chrome.exe","10516","Process Profiling","","SUCCESS","User Time: 20.4375000 seconds, Kernel Time: 0.9375000 seconds, Private Bytes: 364,621,824, Working Set: 412,737,536"
"下午 01:34:00.8408332","chrome.exe","54536","Process Profiling","","SUCCESS","User Time: 0.4375000 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 68,829,184, Working Set: 140,615,680"
"下午 01:34:00.8411267","chrome.exe","56444","Process Profiling","","SUCCESS","User Time: 0.4062500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 91,648,000, Working Set: 165,343,232"
"下午 01:34:00.8411709","chrome.exe","50436","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 33,554,432, Working Set: 72,294,400"
"下午 01:34:00.8415595","chrome.exe","84976","Process Profiling","","SUCCESS","User Time: 0.4687500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 115,212,288, Working Set: 149,532,672"
"下午 01:34:00.8416317","chrome.exe","77812","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 22,794,240, Working Set: 57,303,040"
"下午 01:34:00.8416704","chrome.exe","82264","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 13,922,304, Working Set: 30,437,376"
"下午 01:34:00.8417127","chrome.exe","123464","Process Profiling","","SUCCESS","User Time: 0.0312500 seconds, Kernel Time: 0.0312500 seconds, Private Bytes: 28,004,352, Working Set: 56,160,256"
"下午 01:34:00.8417523","chrome.exe","45480","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 30,404,608, Working Set: 60,887,040"
"下午 01:34:01.2938764","chrome.exe","35816","TCP Send","Cyborg15:52007 -> a865a9e11bc2c0d65.awsglobalaccelerator.com:https","SUCCESS","Length: 48, startime: 115010900, endtime: 115010900, seqnum: 0, connid: 0"
"下午 01:34:01.3602043","chrome.exe","35816","TCP Receive","Cyborg15:52007 -> a865a9e11bc2c0d65.awsglobalaccelerator.com:https","SUCCESS","Length: 38, seqnum: 0, connid: 0"
"下午 01:34:01.4987318","chrome.exe","35816","TCP Receive","Cyborg15:53703 -> ec2-3-219-80-215.compute-1.amazonaws.com:https","SUCCESS","Length: 31, seqnum: 0, connid: 0"
"下午 01:34:01.5026511","chrome.exe","35816","TCP Send","Cyborg15:53703 -> ec2-3-219-80-215.compute-1.amazonaws.com:https","SUCCESS","Length: 35, startime: 115010921, endtime: 115010921, seqnum: 0, connid: 0"
"下午 01:34:01.8422535","chrome.exe","40424","Process Profiling","","SUCCESS","User Time: 18.9218750 seconds, Kernel Time: 14.5000000 seconds, Private Bytes: 265,289,728, Working Set: 325,529,600"
"下午 01:34:01.8422541","chrome.exe","18148","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 8,372,224, Working Set: 11,034,624"
"下午 01:34:01.8422548","chrome.exe","38928","Process Profiling","","SUCCESS","User Time: 15.4687500 seconds, Kernel Time: 4.0937500 seconds, Private Bytes: 437,620,736, Working Set: 421,969,920"
"下午 01:34:01.8422555","chrome.exe","35816","Process Profiling","","SUCCESS","User Time: 2.5000000 seconds, Kernel Time: 1.2031250 seconds, Private Bytes: 30,732,288, Working Set: 59,301,888"
"下午 01:34:01.8422575","chrome.exe","26604","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 12,218,368, Working Set: 22,503,424"
"下午 01:34:01.8422585","chrome.exe","44020","Process Profiling","","SUCCESS","User Time: 4.7031250 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 204,976,128, Working Set: 153,882,624"
"下午 01:34:01.8422618","chrome.exe","29924","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 27,713,536, Working Set: 47,730,688"
"下午 01:34:01.8422633","chrome.exe","10952","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 18,423,808, Working Set: 42,246,144"
"下午 01:34:01.8422685","chrome.exe","1796","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 20,783,104, Working Set: 41,603,072"
"下午 01:34:01.8422694","chrome.exe","38824","Process Profiling","","SUCCESS","User Time: 2.6093750 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 52,817,920, Working Set: 89,276,416"
"下午 01:34:01.8422705","chrome.exe","79408","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 21,868,544, Working Set: 42,311,680"
"下午 01:34:01.8422797","chrome.exe","78676","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 18,661,376, Working Set: 41,975,808"
"下午 01:34:01.8422805","chrome.exe","45012","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 20,508,672, Working Set: 44,134,400"
"下午 01:34:01.8422812","chrome.exe","78864","Process Profiling","","SUCCESS","User Time: 0.1875000 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 21,118,976, Working Set: 54,050,816"
"下午 01:34:01.8422820","chrome.exe","49764","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 19,587,072, Working Set: 43,413,504"
"下午 01:34:01.8422914","chrome.exe","23512","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 29,184,000, Working Set: 51,765,248"
"下午 01:34:01.8422920","chrome.exe","63820","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 13,795,328, Working Set: 21,880,832"
"下午 01:34:01.8422926","chrome.exe","119516","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 62,382,080, Working Set: 49,836,032"
"下午 01:34:01.8422933","chrome.exe","114700","Process Profiling","","SUCCESS","User Time: 7.7031250 seconds, Kernel Time: 0.8593750 seconds, Private Bytes: 173,867,008, Working Set: 252,276,736"
"下午 01:34:01.8423197","chrome.exe","51472","Process Profiling","","SUCCESS","User Time: 0.2968750 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 52,670,464, Working Set: 102,850,560"
"下午 01:34:01.8423705","chrome.exe","23608","Process Profiling","","SUCCESS","User Time: 1.3906250 seconds, Kernel Time: 0.1718750 seconds, Private Bytes: 101,122,048, Working Set: 178,524,160"
"下午 01:34:01.8423836","chrome.exe","10516","Process Profiling","","SUCCESS","User Time: 20.4375000 seconds, Kernel Time: 0.9375000 seconds, Private Bytes: 364,621,824, Working Set: 412,737,536"
"下午 01:34:01.8423842","chrome.exe","54536","Process Profiling","","SUCCESS","User Time: 0.4375000 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 68,829,184, Working Set: 140,615,680"
"下午 01:34:01.8424011","chrome.exe","56444","Process Profiling","","SUCCESS","User Time: 0.4062500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 91,648,000, Working Set: 165,343,232"
"下午 01:34:01.8424018","chrome.exe","50436","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 33,554,432, Working Set: 72,294,400"
"下午 01:34:01.8424179","chrome.exe","84976","Process Profiling","","SUCCESS","User Time: 0.4687500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 115,212,288, Working Set: 149,532,672"
"下午 01:34:01.8424207","chrome.exe","77812","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 22,794,240, Working Set: 57,303,040"
"下午 01:34:01.8424229","chrome.exe","82264","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 13,922,304, Working Set: 30,437,376"
"下午 01:34:01.8424241","chrome.exe","123464","Process Profiling","","SUCCESS","User Time: 0.0312500 seconds, Kernel Time: 0.0312500 seconds, Private Bytes: 28,004,352, Working Set: 56,164,352"
"下午 01:34:01.8424247","chrome.exe","45480","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 30,404,608, Working Set: 60,887,040"
"下午 01:34:02.1961293","chrome.exe","119516","Thread Exit","","SUCCESS","Thread ID: 83880, User Time: 0.0000000, Kernel Time: 0.0000000"
"下午 01:34:02.8417642","chrome.exe","40424","Process Profiling","","SUCCESS","User Time: 18.9218750 seconds, Kernel Time: 14.5000000 seconds, Private Bytes: 265,252,864, Working Set: 325,492,736"
"下午 01:34:02.8417650","chrome.exe","18148","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 8,372,224, Working Set: 11,034,624"
"下午 01:34:02.8417657","chrome.exe","38928","Process Profiling","","SUCCESS","User Time: 15.4687500 seconds, Kernel Time: 4.0937500 seconds, Private Bytes: 437,620,736, Working Set: 421,969,920"
"下午 01:34:02.8417666","chrome.exe","35816","Process Profiling","","SUCCESS","User Time: 2.5000000 seconds, Kernel Time: 1.2031250 seconds, Private Bytes: 30,732,288, Working Set: 59,301,888"
"下午 01:34:02.8417673","chrome.exe","26604","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 12,218,368, Working Set: 22,503,424"
"下午 01:34:02.8417681","chrome.exe","44020","Process Profiling","","SUCCESS","User Time: 4.7031250 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 204,976,128, Working Set: 153,882,624"
"下午 01:34:02.8417696","chrome.exe","29924","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 27,713,536, Working Set: 47,730,688"
"下午 01:34:02.8417703","chrome.exe","10952","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 18,423,808, Working Set: 42,246,144"
"下午 01:34:02.8417733","chrome.exe","1796","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 20,783,104, Working Set: 41,603,072"
"下午 01:34:02.8417742","chrome.exe","38824","Process Profiling","","SUCCESS","User Time: 2.6093750 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 52,817,920, Working Set: 89,276,416"
"下午 01:34:02.8417844","chrome.exe","79408","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 21,868,544, Working Set: 42,311,680"
"下午 01:34:02.8417865","chrome.exe","78676","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 18,661,376, Working Set: 41,975,808"
"下午 01:34:02.8417873","chrome.exe","45012","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 20,508,672, Working Set: 44,134,400"
"下午 01:34:02.8417881","chrome.exe","78864","Process Profiling","","SUCCESS","User Time: 0.1875000 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 21,118,976, Working Set: 54,050,816"
"下午 01:34:02.8417889","chrome.exe","49764","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 19,587,072, Working Set: 43,413,504"
"下午 01:34:02.8418102","chrome.exe","23512","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 29,184,000, Working Set: 51,765,248"
"下午 01:34:02.8418108","chrome.exe","63820","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 13,795,328, Working Set: 21,880,832"
"下午 01:34:02.8418114","chrome.exe","119516","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 62,337,024, Working Set: 49,815,552"
"下午 01:34:02.8418120","chrome.exe","114700","Process Profiling","","SUCCESS","User Time: 7.7031250 seconds, Kernel Time: 0.8593750 seconds, Private Bytes: 173,867,008, Working Set: 252,276,736"
"下午 01:34:02.8418455","chrome.exe","51472","Process Profiling","","SUCCESS","User Time: 0.2968750 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 52,670,464, Working Set: 102,850,560"
"下午 01:34:02.8418683","chrome.exe","23608","Process Profiling","","SUCCESS","User Time: 1.3906250 seconds, Kernel Time: 0.1718750 seconds, Private Bytes: 101,122,048, Working Set: 178,524,160"
"下午 01:34:02.8418781","chrome.exe","10516","Process Profiling","","SUCCESS","User Time: 20.4375000 seconds, Kernel Time: 0.9375000 seconds, Private Bytes: 364,621,824, Working Set: 412,737,536"
"下午 01:34:02.8418788","chrome.exe","54536","Process Profiling","","SUCCESS","User Time: 0.4375000 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 68,829,184, Working Set: 140,615,680"
"下午 01:34:02.8418809","chrome.exe","56444","Process Profiling","","SUCCESS","User Time: 0.4062500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 91,648,000, Working Set: 165,343,232"
"下午 01:34:02.8418815","chrome.exe","50436","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 33,554,432, Working Set: 72,294,400"
"下午 01:34:02.8418962","chrome.exe","84976","Process Profiling","","SUCCESS","User Time: 0.4687500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 115,212,288, Working Set: 149,532,672"
"下午 01:34:02.8419068","chrome.exe","77812","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 22,794,240, Working Set: 57,303,040"
"下午 01:34:02.8419089","chrome.exe","82264","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 13,922,304, Working Set: 30,437,376"
"下午 01:34:02.8419098","chrome.exe","123464","Process Profiling","","SUCCESS","User Time: 0.0312500 seconds, Kernel Time: 0.0312500 seconds, Private Bytes: 28,004,352, Working Set: 56,180,736"
"下午 01:34:02.8419278","chrome.exe","45480","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 30,416,896, Working Set: 60,895,232"
"下午 01:34:03.5031171","chrome.exe","35816","TCP Receive","Cyborg15:52007 -> a865a9e11bc2c0d65.awsglobalaccelerator.com:https","SUCCESS","Length: 32, seqnum: 0, connid: 0"
"下午 01:34:03.5076809","chrome.exe","35816","TCP Send","Cyborg15:52007 -> a865a9e11bc2c0d65.awsglobalaccelerator.com:https","SUCCESS","Length: 36, startime: 115011121, endtime: 115011122, seqnum: 0, connid: 0"
"下午 01:34:03.8306798","chrome.exe","40424","Process Profiling","","SUCCESS","User Time: 18.9218750 seconds, Kernel Time: 14.5000000 seconds, Private Bytes: 265,252,864, Working Set: 325,492,736"
"下午 01:34:03.8306806","chrome.exe","18148","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 8,372,224, Working Set: 11,034,624"
"下午 01:34:03.8306813","chrome.exe","38928","Process Profiling","","SUCCESS","User Time: 15.4687500 seconds, Kernel Time: 4.0937500 seconds, Private Bytes: 437,620,736, Working Set: 421,969,920"
"下午 01:34:03.8306820","chrome.exe","35816","Process Profiling","","SUCCESS","User Time: 2.5000000 seconds, Kernel Time: 1.2031250 seconds, Private Bytes: 30,666,752, Working Set: 59,211,776"
"下午 01:34:03.8306828","chrome.exe","26604","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 12,218,368, Working Set: 22,503,424"
"下午 01:34:03.8306835","chrome.exe","44020","Process Profiling","","SUCCESS","User Time: 4.7031250 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 204,976,128, Working Set: 153,882,624"
"下午 01:34:03.8306848","chrome.exe","29924","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 27,713,536, Working Set: 47,730,688"
"下午 01:34:03.8306855","chrome.exe","10952","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 18,423,808, Working Set: 42,246,144"
"下午 01:34:03.8306883","chrome.exe","1796","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 20,783,104, Working Set: 41,603,072"
"下午 01:34:03.8306891","chrome.exe","38824","Process Profiling","","SUCCESS","User Time: 2.6093750 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 52,817,920, Working Set: 89,276,416"
"下午 01:34:03.8306897","chrome.exe","79408","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 21,868,544, Working Set: 42,311,680"
"下午 01:34:03.8306911","chrome.exe","78676","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 18,661,376, Working Set: 41,975,808"
"下午 01:34:03.8306937","chrome.exe","45012","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 20,508,672, Working Set: 44,134,400"
"下午 01:34:03.8306948","chrome.exe","78864","Process Profiling","","SUCCESS","User Time: 0.1875000 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 21,118,976, Working Set: 54,050,816"
"下午 01:34:03.8306957","chrome.exe","49764","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 19,587,072, Working Set: 43,413,504"
"下午 01:34:03.8308824","chrome.exe","23512","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 29,184,000, Working Set: 51,765,248"
"下午 01:34:03.8308832","chrome.exe","63820","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 13,795,328, Working Set: 21,880,832"
"下午 01:34:03.8308838","chrome.exe","119516","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 62,337,024, Working Set: 49,815,552"
"下午 01:34:03.8308847","chrome.exe","114700","Process Profiling","","SUCCESS","User Time: 7.7031250 seconds, Kernel Time: 0.8593750 seconds, Private Bytes: 173,867,008, Working Set: 252,276,736"
"下午 01:34:03.8309434","chrome.exe","51472","Process Profiling","","SUCCESS","User Time: 0.2968750 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 52,670,464, Working Set: 102,850,560"
"下午 01:34:03.8310037","chrome.exe","23608","Process Profiling","","SUCCESS","User Time: 1.3906250 seconds, Kernel Time: 0.1718750 seconds, Private Bytes: 101,122,048, Working Set: 178,524,160"
"下午 01:34:03.8310218","chrome.exe","10516","Process Profiling","","SUCCESS","User Time: 20.4375000 seconds, Kernel Time: 0.9375000 seconds, Private Bytes: 364,621,824, Working Set: 412,737,536"
"下午 01:34:03.8310309","chrome.exe","54536","Process Profiling","","SUCCESS","User Time: 0.4375000 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 68,829,184, Working Set: 140,615,680"
"下午 01:34:03.8311136","chrome.exe","56444","Process Profiling","","SUCCESS","User Time: 0.4062500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 91,648,000, Working Set: 165,343,232"
"下午 01:34:03.8311166","chrome.exe","50436","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 33,554,432, Working Set: 72,294,400"
"下午 01:34:03.8311407","chrome.exe","84976","Process Profiling","","SUCCESS","User Time: 0.4687500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 115,212,288, Working Set: 149,532,672"
"下午 01:34:03.8311474","chrome.exe","77812","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 22,794,240, Working Set: 57,303,040"
"下午 01:34:03.8311519","chrome.exe","82264","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 13,922,304, Working Set: 30,437,376"
"下午 01:34:03.8311541","chrome.exe","123464","Process Profiling","","SUCCESS","User Time: 0.0312500 seconds, Kernel Time: 0.0312500 seconds, Private Bytes: 28,004,352, Working Set: 56,184,832"
"下午 01:34:03.8311578","chrome.exe","45480","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 30,416,896, Working Set: 60,895,232"
"下午 01:34:04.8300563","chrome.exe","40424","Process Profiling","","SUCCESS","User Time: 18.9218750 seconds, Kernel Time: 14.5000000 seconds, Private Bytes: 265,252,864, Working Set: 325,492,736"
"下午 01:34:04.8300571","chrome.exe","18148","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 8,372,224, Working Set: 11,034,624"
"下午 01:34:04.8300578","chrome.exe","38928","Process Profiling","","SUCCESS","User Time: 15.4687500 seconds, Kernel Time: 4.0937500 seconds, Private Bytes: 437,620,736, Working Set: 421,969,920"
"下午 01:34:04.8300585","chrome.exe","35816","Process Profiling","","SUCCESS","User Time: 2.5000000 seconds, Kernel Time: 1.2031250 seconds, Private Bytes: 30,666,752, Working Set: 59,211,776"
"下午 01:34:04.8300592","chrome.exe","26604","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 12,218,368, Working Set: 22,503,424"
"下午 01:34:04.8300599","chrome.exe","44020","Process Profiling","","SUCCESS","User Time: 4.7031250 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 204,976,128, Working Set: 153,882,624"
"下午 01:34:04.8300613","chrome.exe","29924","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 27,713,536, Working Set: 47,730,688"
"下午 01:34:04.8300619","chrome.exe","10952","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 18,423,808, Working Set: 42,246,144"
"下午 01:34:04.8300648","chrome.exe","1796","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 20,783,104, Working Set: 41,603,072"
"下午 01:34:04.8300656","chrome.exe","38824","Process Profiling","","SUCCESS","User Time: 2.6093750 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 52,817,920, Working Set: 89,276,416"
"下午 01:34:04.8300663","chrome.exe","79408","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 21,868,544, Working Set: 42,311,680"
"下午 01:34:04.8300671","chrome.exe","78676","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 18,661,376, Working Set: 41,975,808"
"下午 01:34:04.8300679","chrome.exe","45012","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 20,508,672, Working Set: 44,134,400"
