"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"下午 01:34:40.0215282","chrome.exe","40424","SetDispositionInformationEx","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.blob\1\09\1099e","SUCCESS","Flags: FILE_DISPOSITION_DELETE, FILE_DISPOSITION_POSIX_SEMANTICS"
"下午 01:34:40.0215562","chrome.exe","40424","CloseFile","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.blob\1\09\1099e","SUCCESS",""
"下午 01:34:40.0216012","chrome.exe","40424","WriteFile","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.leveldb\000290.log","SUCCESS","Offset: -1, Length: 7"
"下午 01:34:40.0216249","chrome.exe","40424","WriteFile","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.leveldb\000290.log","SUCCESS","Offset: -1, Length: 255"
"下午 01:34:40.0239887","chrome.exe","40424","IRP_MJ_CLOSE","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.blob\1\09\1099e","SUCCESS",""
"下午 01:34:40.0240861","chrome.exe","40424","IRP_MJ_CLOSE","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.blob\1\09\1099e","SUCCESS",""
"下午 01:34:40.0242035","chrome.exe","40424","WriteFile","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.leveldb\000290.log","SUCCESS","Offset: -1, Length: 7"
"下午 01:34:40.0242651","chrome.exe","40424","WriteFile","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.leveldb\000290.log","SUCCESS","Offset: -1, Length: 28"
"下午 01:34:40.0243088","chrome.exe","40424","FlushBuffersFile","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.leveldb\000290.log","SUCCESS",""
"下午 01:34:40.0243812","chrome.exe","40424","FASTIO_ACQUIRE_FOR_CC_FLUSH","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.leveldb\000290.log","SUCCESS",""
"下午 01:34:40.0244078","chrome.exe","40424","WriteFile","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.leveldb\000290.log","SUCCESS","Offset: 2,310,144, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"下午 01:34:40.0248047","chrome.exe","40424","FASTIO_RELEASE_FOR_CC_FLUSH","C:\Users\USER\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\chrome-extension_cfhdojbkjhnklbpkdaibdccddilifddb_0.indexeddb.leveldb\000290.log","SUCCESS",""
"下午 01:34:40.0248526","chrome.exe","40424","WriteFile","C:\$LogFile","SUCCESS","Offset: 12,288, Length: 40,960, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"下午 01:34:40.4533335","chrome.exe","35816","TCP Receive","Cyborg15:52007 -> a865a9e11bc2c0d65.awsglobalaccelerator.com:https","SUCCESS","Length: 32, seqnum: 0, connid: 0"
"下午 01:34:40.4571713","chrome.exe","35816","TCP Send","Cyborg15:52007 -> a865a9e11bc2c0d65.awsglobalaccelerator.com:https","SUCCESS","Length: 36, startime: 115014816, endtime: 115014816, seqnum: 0, connid: 0"
